,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10,Subject11,Subject12,Subject13,Subject14,Subject15,Subject16,Subject17,Subject18,Subject19,Subject20,Subject21,Subject22,Subject23,Subject24,Subject25,Subject26,Subject27,Subject28,Subject29,Subject30,Subject31,Subject32,Subject33,Subject34,Subject35,Subject36,Subject37,Subject38,Subject39,Subject40,Subject41,Subject42,Subject43,Subject44,Subject45,Subject46,Subject47,Subject48,Subject49,Subject50,Subject51,Subject52,Subject53,Subject54,Subject55,Subject56,Subject57,Subject58,Subject59,Subject60,Subject61,Subject62,Subject63,Subject64,Subject65,Subject66,Subject67,Subject68,Subject69,Subject70,Subject71,Subject72,Subject73,Subject74,Subject75,Subject76,Subject77,Subject78,Subject79,Subject80,Subject81,Subject82,Subject83,Subject84,Subject85
1Runner_crf_0_24fps,7.0,30.0,11.0,19.0,9.0,2.0,28.0,13.0,28.0,17.0,2.0,19.0,21.0,9.0,12.0,20.0,0.0,38.0,30.0,13.0,17.0,8.0,22.0,28.0,21.0,13.0,10.0,16.0,10.0,16.0,23.0,14.0,18.0,26.0,0.0,26.0,7.0,23.0,15.0,20.0,10.0,23.0,11.0,39.0,16.0,29.0,17.0,20.0,17.0,15.0,6.0,20.0,17.0,16.0,8.0,7.0,5.0,17.0,7.0,23.0,12.0,10.0,17.0,21.0,12.0,19.0,35.0,22.0,12.0,21.0,16.0,25.0,20.0,13.0,36.0,23.0,23.0,17.0,18.0,23.0,20.0,27.0,15.0,19.0,28.0
1Runner_crf_0_30fps,3.0,-1.0,-1.0,22.0,30.0,-1.0,26.0,13.0,29.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,-1.0,19.0,-1.0,27.0,-1.0,-1.0,-1.0,-1.0,22.0,21.0,22.0,21.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0,14.0,-1.0,19.0,24.0,19.0,19.0,7.0,31.0,-1.0,23.0,27.0,5.0,-1.0,-1.0,-1.0,18.0,14.0,9.0,16.0,16.0,15.0,9.0,30.0,12.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,27.0,24.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,23.0,-1.0,-1.0,28.0
1Runner_crf_0_60fps,-1.0,30.0,23.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,37.0,-1.0,36.0,30.0,14.0,28.0,36.0,26.0,20.0,29.0,-1.0,27.0,-1.0,25.0,-1.0,29.0,16.0,20.0,29.0,-1.0,-1.0,-1.0,-1.0,35.0,32.0,-1.0,33.0,22.0,37.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,-1.0,-1.0,-1.0,22.0,18.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,21.0,27.0,31.0,27.0,12.0,36.0,30.0,-1.0,-1.0,-1.0,-1.0,33.0,23.0,27.0,32.0,29.0,-1.0,-1.0,14.0,37.0,-1.0
1Runner_crf_0_82fps,20.0,-1.0,-1.0,24.0,20.0,-1.0,31.0,32.0,33.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,-1.0,19.0,-1.0,35.0,-1.0,-1.0,-1.0,-1.0,32.0,26.0,33.0,22.0,-1.0,-1.0,19.0,-1.0,-1.0,-1.0,20.0,-1.0,21.0,32.0,19.0,24.0,37.0,38.0,-1.0,26.0,20.0,25.0,-1.0,-1.0,-1.0,23.0,39.0,25.0,26.0,18.0,32.0,32.0,25.0,21.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,35.0,30.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,28.0,-1.0,-1.0,32.0
1Runner_crf_0_98fps,27.0,-1.0,-1.0,30.0,32.0,-1.0,28.0,18.0,32.0,-1.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,26.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0,23.0,29.0,32.0,24.0,-1.0,-1.0,31.0,-1.0,-1.0,-1.0,19.0,-1.0,32.0,28.0,32.0,25.0,37.0,38.0,-1.0,31.0,26.0,31.0,-1.0,-1.0,-1.0,26.0,29.0,28.0,28.0,17.0,30.0,34.0,26.0,32.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,31.0,39.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,26.0,-1.0,-1.0,31.0
1Runner_crf_0_120fps,39.0,-1.0,-1.0,33.0,34.0,-1.0,32.0,32.0,34.0,-1.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,-1.0,38.0,-1.0,38.0,-1.0,-1.0,-1.0,-1.0,30.0,31.0,30.0,35.0,-1.0,-1.0,29.0,-1.0,-1.0,-1.0,32.0,-1.0,36.0,39.0,28.0,31.0,37.0,38.0,-1.0,28.0,27.0,35.0,-1.0,-1.0,-1.0,23.0,38.0,25.0,33.0,30.0,39.0,31.0,29.0,28.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,35.0,39.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,30.0,-1.0,-1.0,34.0
1Runner_crf_18_24fps,12.0,13.0,15.0,10.0,14.0,11.0,23.0,35.0,29.0,4.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,26.0,24.0,27.0,9.0,22.0,20.0,19.0,22.0,20.0,7.0,-1.0,19.0,7.0,24.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,19.0,36.0,19.0,18.0,21.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,24.0,19.0,14.0,17.0,19.0,11.0,-1.0,-1.0
1Runner_crf_20_30fps,-1.0,29.0,22.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,9.0,-1.0,18.0,25.0,9.0,16.0,19.0,7.0,27.0,29.0,-1.0,9.0,-1.0,30.0,-1.0,23.0,14.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,19.0,17.0,-1.0,27.0,30.0,28.0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,-1.0,-1.0,13.0,17.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,34.0,17.0,33.0,19.0,8.0,31.0,6.0,-1.0,-1.0,-1.0,-1.0,28.0,30.0,22.0,34.0,10.0,-1.0,-1.0,9.0,17.0,-1.0
1Runner_crf_26_60fps,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,28.0,28.0,15.0,30.0,25.0,37.0,24.0,30.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,-1.0,-1.0,-1.0,-1.0,24.0,21.0,20.0,20.0,36.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,27.0,28.0,19.0,9.0,25.0,30.0,33.0,27.0,28.0,-1.0,20.0,19.0,23.0,30.0,39.0,26.0,27.0,33.0,22.0,22.0,31.0,31.0,29.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,36.0
1Runner_crf_30_82fps,17.0,31.0,20.0,32.0,19.0,19.0,28.0,30.0,25.0,30.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,29.0,32.0,27.0,20.0,26.0,27.0,30.0,29.0,29.0,30.0,-1.0,36.0,39.0,32.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,31.0,35.0,34.0,27.0,32.0,26.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,30.0,37.0,22.0,28.0,28.0,25.0,-1.0,-1.0
